sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,NAICS,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,when
5554,8D0D0120-53D5-4A3D-B68F-D5BAFA1B9F24,5554,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,670.54,660.48,658.02,578.95,584.75,594.0,571.28,698.57,535.65,624.81,596.53,2001-01-01
5555,B8156EED-2420-4B71-A56C-57DED1FA7CEC,5555,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,670.52,659.33,655.79,580.63,585.11,591.92,570.06,693.69,532.02,623.93,595.09,2001-02-01
5556,A8D7795E-40FA-4923-AB52-CA8536DAAD7A,5556,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,668.49,654.07,655.88,578.67,584.13,593.47,570.7,697.08,534.71,622.94,589.09,2001-03-01
5557,8373DAD3-2886-4DAD-AFE8-84DB8C0F414E,5557,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,671.71,657.15,654.09,576.36,580.92,591.96,568.7,693.73,522.5,619.12,589.37,2001-04-01
5558,05DB3E97-35EC-4F75-891B-3F6C696CDEE0,5558,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,664.45,653.23,650.02,571.84,578.44,588.19,567.96,688.27,522.31,618.9,587.41,2001-05-01
5559,9F6DC880-A4F1-4149-A43F-23E9E9BF2270,5559,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,675.72,661.49,658.06,588.66,582.79,591.85,576.42,697.37,529.47,623.5,597.65,2001-06-01
5560,0F6988BE-1D70-4546-A854-15C677B99316,5560,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,672.96,655.63,655.38,586.31,580.57,590.91,576.16,696.65,509.55,619.98,590.31,2001-07-01
5561,6BE8C5BD-E455-4573-A299-F41CC57DB7DB,5561,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,673.6,653.55,655.54,592.32,602.85,593.53,579.54,691.09,534.47,625.05,598.63,2001-08-01
5562,9C61FF04-EA5F-4548-9E21-BA4F29B1E325,5562,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,692.18,659.15,660.5,587.73,594.41,600.95,576.75,699.48,531.89,622.17,600.95,2001-09-01
5563,2538F70D-9A3D-45F0-A6BE-4A3744AF6372,5563,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,693.13,664.43,661.11,587.39,595.74,596.49,582.77,697.06,535.24,623.8,603.69,2001-10-01
5564,E29C2CFE-AD1B-4F77-A0B9-86970CB6FA88,5564,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,675.8,655.07,659.65,586.56,598.11,585.27,583.15,701.04,535.62,625.83,590.9,2001-11-01
5565,C056C58D-CAAE-409E-A994-D20291F4F053,5565,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,674.09,658.72,661.38,593.03,602.37,594.03,594.16,697.61,559.8,631.09,605.77,2001-12-01
